iter	Logloss
0	0.6776405481
1	0.6665442582
2	0.6578010365
3	0.6513202763
4	0.6484655604
5	0.6442023109
6	0.641706695
7	0.6398060243
8	0.6371759629
9	0.6358689099
10	0.6350292167
11	0.6335773547
12	0.6330438735
13	0.6324409346
14	0.6318560752
15	0.6302917092
16	0.6294287783
17	0.6288068179
18	0.6283130741
19	0.6277669618
20	0.6273369861
21	0.62704233
22	0.6265859274
23	0.6261528796
24	0.6247640058
25	0.6244349934
26	0.6241422566
27	0.6236941198
28	0.623345246
29	0.6227445542
30	0.6226318227
31	0.6222308976
32	0.6219963388
33	0.62171132
34	0.6212246342
35	0.620944404
36	0.620736987
37	0.620460133
38	0.6200536317
39	0.6198290011
40	0.6196637141
41	0.6195537573
42	0.6193231629
43	0.6190105228
44	0.6188178592
45	0.6186079322
46	0.6183436665
47	0.6180940504
48	0.6179095523
49	0.6176267905
50	0.6174368865
51	0.6166369102
52	0.6164205111
53	0.6162861035
54	0.6161299888
55	0.6159610332
56	0.6159011463
57	0.6157396561
58	0.6156139566
59	0.6154951186
60	0.6153677767
61	0.615242889
62	0.6151168369
63	0.6150023924
64	0.6149860112
65	0.6147759387
66	0.6145660192
67	0.6144242123
68	0.6143157438
69	0.6141579935
70	0.6139475549
71	0.6138528077
72	0.6137854271
73	0.6136141627
74	0.6134882774
75	0.6133050125
76	0.6131916979
77	0.6131089894
78	0.6129491757
79	0.6127537809
80	0.6125128355
81	0.6124231551
82	0.6122244643
83	0.6120438613
84	0.6118872453
85	0.6117372576
86	0.6115644075
87	0.6114548654
88	0.6112815924
89	0.6111316944
90	0.6110088722
91	0.6108608407
92	0.6107563411
93	0.6106124477
94	0.6105984722
95	0.6104618255
96	0.6103528606
97	0.6102265805
98	0.6096489998
99	0.609543489
100	0.6094650851
101	0.6093880647
102	0.6092912676
103	0.6091507051
104	0.6090479675
105	0.6089758494
106	0.608826848
107	0.6087283039
108	0.6086378314
109	0.6085833362
110	0.6085036726
111	0.6084518826
112	0.6083005929
113	0.6081696639
114	0.608048172
115	0.6079164808
116	0.6077996543
117	0.6077135562
118	0.6075988571
119	0.6074929487
120	0.6074040772
121	0.6073188237
122	0.6071888285
123	0.6070821564
124	0.6069865443
125	0.6069433517
126	0.6068539399
127	0.60677068
128	0.6067300034
129	0.6065907862
130	0.606516511
131	0.6064557174
132	0.6063995004
133	0.6063120444
134	0.6061782272
135	0.6060567033
136	0.605997281
137	0.6059184202
138	0.6058239116
139	0.6057946636
140	0.6057457552
141	0.6056851934
142	0.6056339025
143	0.6054979623
144	0.6054136776
145	0.6053663605
146	0.60528755
147	0.6052086149
148	0.6051289598
149	0.6050173489
150	0.6049366587
151	0.6048498033
152	0.6047963426
153	0.6046930144
154	0.6046099256
155	0.604559125
156	0.604509881
157	0.6044232569
158	0.6043334191
159	0.6042522861
160	0.604179458
161	0.6041062126
162	0.6040439827
163	0.6039399874
164	0.6038809107
165	0.6037871528
166	0.603673993
167	0.6035804522
168	0.6034614651
169	0.603356879
170	0.6032758938
171	0.6032241812
172	0.6031617381
173	0.603097711
174	0.6030324888
175	0.6029926392
176	0.6028943414
177	0.6027851756
178	0.6026619963
179	0.6023917315
180	0.6023593851
181	0.6022653116
182	0.6021843465
183	0.6021143648
184	0.6020433851
185	0.6019844827
186	0.6019201853
187	0.6018188316
188	0.6016965512
189	0.6016407017
190	0.6015852557
191	0.6014743349
192	0.6013577941
193	0.6012213717
194	0.6011628901
195	0.601071695
196	0.6009492305
197	0.600895327
198	0.6008083756
199	0.6007199038
200	0.600653937
201	0.6005537698
202	0.6004399921
203	0.600386023
204	0.6002845784
205	0.600185582
206	0.6001407914
207	0.6000902469
208	0.6000096221
209	0.5999606636
210	0.5998589858
211	0.5997528878
212	0.5996526016
213	0.5995643812
214	0.5994571987
215	0.5993421131
216	0.5992862287
217	0.5991562901
218	0.5990392408
219	0.5990068036
220	0.5988788274
221	0.5987239749
222	0.5986514286
223	0.5985640877
224	0.5984557429
225	0.5983684302
226	0.5982703298
227	0.5978514464
228	0.5977410673
229	0.597649171
230	0.5975555222
231	0.5974691263
232	0.5973426449
233	0.5972791982
234	0.5971559717
235	0.5968442878
236	0.5967280172
237	0.5966193478
238	0.5965131794
239	0.5964522396
240	0.5963851577
241	0.5962847725
242	0.5961966754
243	0.5961082706
244	0.5960246184
245	0.5959323825
246	0.5958892767
247	0.5957940414
248	0.5957064715
249	0.5956369718
250	0.5955210232
251	0.5954090089
252	0.5953429001
253	0.5952324704
254	0.5951281858
255	0.5950594986
256	0.5949300374
257	0.5948239092
258	0.5947147559
259	0.5945856112
260	0.5944798799
261	0.5943420228
262	0.5942467123
263	0.5941320812
264	0.5940367655
265	0.5939551747
266	0.5938956814
267	0.5937961289
268	0.5937066038
269	0.5936114684
270	0.5935126043
271	0.5934182848
272	0.5933605027
273	0.5932662379
274	0.5931767149
275	0.5930710957
276	0.5929921113
277	0.5929259011
278	0.5928478565
279	0.5928032473
280	0.5927386828
281	0.5926794039
282	0.5926050608
283	0.5925378456
284	0.5924364525
285	0.5923550323
286	0.5922603263
287	0.5921487843
288	0.5920217984
289	0.591928201
290	0.5918463063
291	0.5917300866
292	0.5916946359
293	0.5915943055
294	0.5914848378
295	0.5914090442
296	0.5913083583
297	0.5912193362
298	0.5911147343
299	0.5910614536
300	0.5909720682
301	0.590893309
302	0.5908140441
303	0.5907313452
304	0.5906277254
305	0.5905155775
306	0.5904294048
307	0.5903235442
308	0.5901835012
309	0.5901042279
310	0.5900376117
311	0.5899233217
312	0.5898206347
313	0.5897180447
314	0.589665239
315	0.5895684574
316	0.589508693
317	0.5894633456
318	0.5893741767
319	0.5893107341
320	0.5892359386
321	0.5891527074
322	0.5890390657
323	0.5889398746
324	0.5888493293
325	0.5887627735
326	0.5886825336
327	0.588584602
328	0.5884919082
329	0.5883941118
330	0.5883599747
331	0.5882967164
332	0.5882198721
333	0.5881637564
334	0.5880985301
335	0.5880244881
336	0.5879739365
337	0.5878817265
338	0.5877965914
339	0.5876977118
340	0.5876420662
341	0.5875745271
342	0.5875284727
343	0.5874931499
344	0.5873944584
345	0.5873051897
346	0.5871948679
347	0.5871221633
348	0.5870573963
349	0.586981517
350	0.5869326503
351	0.5868692192
352	0.5867942096
353	0.586722589
354	0.5866666635
355	0.5865702045
356	0.5864824542
357	0.5864127886
358	0.586309603
359	0.5862302541
360	0.5861422855
361	0.5860893671
362	0.5860083698
363	0.5859424689
364	0.585842218
365	0.5858028542
366	0.5857386879
367	0.58567316
368	0.5855932984
369	0.5855539803
370	0.5854927553
371	0.5853963941
372	0.5853080982
373	0.5852307791
374	0.5851348698
375	0.5850544645
376	0.5849791472
377	0.584921327
378	0.5848663871
379	0.5848144345
380	0.5847263449
381	0.5846792825
382	0.5845826084
383	0.5845450086
384	0.584465506
385	0.5844039973
386	0.5841836689
387	0.5841252341
388	0.5839188454
389	0.5838411135
390	0.5837829075
391	0.5837213189
392	0.5836527072
393	0.583574378
394	0.583518857
395	0.5834515469
396	0.5834021437
397	0.5833590669
398	0.5833449199
399	0.5832800014
400	0.5831924828
401	0.5831184666
402	0.5830480591
403	0.5829823386
404	0.5828983596
405	0.5828225519
406	0.5827704777
407	0.582697022
408	0.5825799785
409	0.5825150598
410	0.5824612969
411	0.5824029781
412	0.5823251851
413	0.5822302363
414	0.582169189
415	0.5820741377
416	0.5819799836
417	0.5818881129
418	0.5818352449
419	0.5817468567
420	0.5816737158
421	0.5816091417
422	0.5815254174
423	0.5814581969
424	0.5813987736
425	0.5813533617
426	0.5813003093
427	0.5812081872
428	0.5811101986
429	0.5810279554
430	0.5809704514
431	0.5808981601
432	0.5808126749
433	0.5807292041
434	0.5806845874
435	0.5805972942
436	0.5805602472
437	0.580483889
438	0.5804130964
439	0.5803795816
440	0.5803165283
441	0.5802746046
442	0.5802066682
443	0.5800935961
444	0.5800271485
445	0.5799621324
446	0.5799099898
447	0.5798359204
448	0.5797646433
449	0.5797105709
450	0.579615324
451	0.5795312397
452	0.5794423549
453	0.5793923615
454	0.5793125743
