iter	Passed	Remaining
0	109	109018
1	140	70164
2	185	61687
3	221	55211
4	256	51105
5	296	49084
6	332	47155
7	365	45354
8	401	44243
9	451	44666
10	489	44032
11	522	43059
12	555	42191
13	587	41386
14	620	40740
15	657	40413
16	693	40083
17	726	39650
18	758	39177
19	793	38878
20	837	39025
21	881	39200
22	921	39125
23	961	39082
24	994	38791
25	1025	38425
26	1065	38397
27	1100	38217
28	1132	37933
29	1166	37704
30	1186	37096
31	1220	36918
32	1253	36734
33	1296	36843
34	1355	37365
35	1407	37700
36	1456	37904
37	1508	38188
38	1569	38666
39	1613	38734
40	1648	38570
41	1670	38108
42	1703	37921
43	1746	37950
44	1787	37924
45	1822	37790
46	1855	37619
47	1893	37544
48	1930	37467
49	1978	37589
50	2017	37542
51	2053	37438
52	2089	37339
53	2124	37219
54	2161	37130
55	2204	37164
56	2244	37128
57	2280	37045
58	2319	36987
59	2356	36911
60	2394	36864
61	2439	36901
62	2479	36879
63	2516	36797
64	2537	36500
65	2574	36436
66	2620	36491
67	2675	36664
68	2732	36870
69	2784	36991
70	2838	37144
71	2900	37384
72	2941	37350
73	2993	37465
74	3046	37576
75	3095	37637
76	3153	37796
77	3190	37714
78	3224	37596
79	3258	37473
80	3289	37321
81	3325	37233
82	3365	37187
83	3413	37223
84	3461	37264
85	3516	37369
86	3569	37460
87	3631	37632
88	3683	37706
89	3730	37716
90	3774	37702
91	3811	37613
92	3849	37544
93	3887	37465
94	3913	37278
95	3951	37209
96	3999	37228
97	4052	37296
98	4109	37399
99	4163	37467
100	4213	37501
101	4275	37641
102	4312	37559
103	4346	37444
104	4380	37342
105	4417	37253
106	4467	37283
107	4514	37284
108	4556	37243
109	4591	37149
110	4630	37084
111	4665	36989
112	4702	36908
113	4737	36821
114	4773	36732
115	4808	36644
116	4845	36566
117	4886	36521
118	4923	36447
119	4958	36360
120	4996	36295
121	5035	36239
122	5079	36218
123	5119	36170
124	5158	36108
125	5182	35946
126	5217	35861
127	5254	35795
128	5298	35778
129	5337	35721
130	5374	35651
131	5408	35564
132	5442	35477
133	5477	35398
134	5520	35373
135	5557	35306
136	5594	35243
137	5631	35175
138	5666	35098
139	5699	35009
140	5735	34941
141	5779	34924
142	5817	34864
143	5853	34796
144	5889	34725
145	5921	34634
146	5963	34606
147	5995	34513
148	6030	34442
149	6065	34371
150	6105	34327
151	6139	34252
152	6174	34183
153	6216	34150
154	6248	34066
155	6281	33984
156	6315	33912
157	6353	33860
158	6395	33826
159	6432	33768
160	6468	33710
161	6501	33632
162	6537	33568
163	6572	33504
164	6614	33475
165	6656	33445
166	6693	33386
167	6728	33322
168	6764	33261
169	6801	33209
170	6845	33184
171	6882	33130
172	6922	33090
173	6957	33026
174	6991	32962
175	7025	32894
176	7062	32837
177	7104	32808
178	7146	32779
179	7185	32735
180	7218	32662
181	7256	32612
182	7300	32592
183	7333	32523
184	7369	32464
185	7401	32393
186	7438	32338
187	7475	32288
188	7519	32266
189	7555	32212
190	7591	32153
191	7626	32095
192	7667	32058
193	7706	32015
194	7751	31998
195	7787	31945
196	7827	31905
197	7863	31851
198	7898	31793
199	7932	31730
200	7978	31715
201	8016	31669
202	8055	31626
203	8092	31578
204	8139	31565
205	8183	31542
206	8229	31528
207	8270	31490
208	8309	31447
209	8347	31403
210	8393	31384
211	8437	31361
212	8476	31317
213	8514	31274
214	8554	31233
215	8596	31201
216	8643	31188
217	8685	31157
218	8724	31112
219	8767	31085
220	8811	31058
221	8861	31055
222	8908	31038
223	8949	31003
224	8994	30980
225	9041	30965
226	9082	30929
227	9122	30888
228	9160	30842
229	9199	30799
230	9236	30748
231	9285	30737
232	9328	30708
233	9369	30671
234	9412	30640
235	9456	30614
236	9507	30608
237	9549	30574
238	9591	30539
239	9629	30494
240	9666	30443
241	9704	30395
242	9753	30384
243	9795	30351
244	9833	30302
245	9872	30260
246	9906	30199
247	9942	30147
248	9983	30109
249	10017	30053
250	10052	29998
251	10086	29938
252	10122	29886
253	10157	29832
254	10193	29781
255	10236	29750
256	10274	29705
257	10314	29662
258	10355	29626
259	10393	29581
260	10436	29549
261	10475	29508
262	10516	29471
263	10557	29432
264	10600	29402
265	10646	29378
266	10688	29343
267	10727	29300
268	10768	29262
269	10818	29249
270	10873	29250
271	10919	29225
272	10962	29192
273	11003	29154
274	11053	29141
275	11091	29095
276	11129	29050
277	11168	29004
278	11206	28960
279	11246	28918
280	11292	28894
281	11331	28851
282	11367	28801
283	11410	28766
284	11453	28733
285	11490	28686
286	11533	28652
287	11572	28609
288	11612	28568
289	11654	28533
290	11693	28489
291	11734	28451
292	11776	28416
293	11814	28371
294	11849	28317
295	11889	28278
296	11927	28232
297	11966	28190
298	12002	28138
299	12034	28080
300	12071	28032
301	12109	27987
302	12145	27939
303	12189	27908
304	12226	27859
305	12263	27813
306	12302	27770
307	12341	27727
308	12382	27690
309	12434	27677
310	12474	27637
311	12515	27598
312	12558	27563
313	12599	27525
314	12660	27531
315	12715	27524
316	12771	27517
317	12823	27502
318	12885	27508
319	12948	27515
320	13005	27509
321	13064	27509
322	13128	27517
323	13178	27495
324	13237	27493
325	13309	27517
326	13369	27515
327	13418	27491
328	13470	27473
329	13520	27450
330	13564	27416
331	13612	27389
332	13654	27350
333	13701	27321
334	13757	27310
335	13810	27293
336	13865	27278
337	13914	27251
338	13958	27216
339	14000	27178
340	14043	27139
341	14088	27105
342	14128	27062
343	14174	27030
344	14229	27015
345	14287	27005
346	14349	27004
347	14393	26966
348	14441	26938
349	14487	26905
350	14528	26862
351	14574	26829
352	14624	26804
353	14678	26786
354	14726	26757
355	14773	26724
356	14828	26707
357	14879	26684
358	14921	26642
359	14969	26612
360	15014	26577
361	15073	26566
362	15130	26551
363	15186	26534
364	15237	26508
365	15285	26477
366	15333	26447
367	15371	26399
368	15411	26354
369	15448	26303
370	15484	26253
371	15530	26218
372	15571	26174
373	15616	26139
374	15668	26113
375	15719	26087
376	15774	26068
377	15818	26028
378	15866	25998
379	15908	25956
380	15950	25914
381	15993	25874
382	16043	25844
383	16078	25792
384	16119	25749
385	16159	25704
386	16206	25671
387	16266	25657
388	16316	25628
389	16367	25600
390	16416	25569
391	16473	25551
392	16518	25512
393	16564	25476
394	16608	25438
395	16659	25410
396	16703	25370
397	16745	25329
398	16782	25278
399	16823	25235
400	16870	25200
401	16916	25163
402	16957	25120
403	16998	25077
404	17045	25042
405	17101	25020
406	17156	24997
407	17206	24966
408	17248	24924
409	17291	24883
410	17343	24855
411	17384	24810
412	17425	24766
413	17463	24719
414	17505	24677
415	17549	24637
416	17599	24604
417	17645	24569
418	17689	24529
419	17734	24490
420	17785	24460
421	17828	24419
422	17869	24374
423	17906	24325
424	17939	24270
425	17975	24220
426	18022	24184
427	18068	24148
428	18120	24118
429	18171	24087
430	18214	24046
431	18264	24014
432	18308	23974
433	18352	23934
434	18394	23891
435	18437	23850
436	18480	23809
437	18534	23781
438	18588	23754
439	18650	23736
440	18708	23714
441	18759	23682
442	18810	23650
443	18854	23610
444	18897	23568
445	18946	23534
446	18994	23499
447	19046	23468
448	19102	23442
449	19161	23420
450	19218	23394
451	19266	23358
452	19310	23317
453	19354	23276
454	19405	23243
455	19447	23200
456	19485	23152
457	19521	23102
458	19566	23061
459	19616	23028
460	19666	22994
461	19708	22951
462	19756	22913
463	19800	22872
464	19850	22839
465	19894	22797
466	19935	22752
467	19976	22708
468	20017	22663
469	20068	22630
470	20113	22590
471	20151	22542
472	20188	22493
473	20229	22448
474	20276	22410
475	20322	22372
476	20366	22330
477	20411	22290
478	20449	22242
479	20486	22194
480	20537	22159
481	20576	22112
482	20613	22065
483	20652	22018
484	20686	21966
485	20732	21927
486	20769	21878
487	20804	21828
488	20843	21781
489	20882	21734
490	20922	21689
491	20968	21650
492	21009	21605
493	21050	21561
494	21089	21515
495	21129	21470
496	21168	21423
497	21217	21388
498	21261	21346
499	21305	21305
500	21347	21262
501	21390	21220
502	21448	21192
503	21496	21155
504	21540	21113
505	21584	21073
506	21626	21029
507	21673	20990
508	21716	20948
509	21759	20906
510	21798	20860
511	21841	20818
512	21887	20778
513	21925	20731
514	21969	20689
515	22010	20645
516	22048	20598
517	22090	20554
518	22134	20513
519	22171	20466
520	22208	20417
521	22248	20372
522	22286	20326
523	22334	20288
524	22377	20246
525	22416	20200
526	22455	20154
527	22499	20113
528	22539	20067
529	22584	20027
530	22625	19983
531	22663	19936
532	22698	19888
533	22738	19842
534	22781	19800
535	22820	19754
536	22857	19707
537	22893	19659
538	22927	19609
539	22963	19561
540	23008	19520
541	23052	19480
542	23106	19446
543	23160	19413
544	23205	19373
545	23259	19340
546	23302	19298
547	23347	19257
548	23390	19214
549	23432	19171
550	23480	19133
551	23537	19103
552	23593	19071
553	23647	19037
554	23703	19005
555	23752	18967
556	23798	18927
557	23844	18887
558	23887	18845
559	23942	18812
560	23998	18779
561	24047	18741
562	24107	18712
563	24161	18678
564	24216	18644
565	24263	18604
566	24319	18571
567	24378	18541
568	24431	18505
569	24478	18466
570	24536	18434
571	24602	18408
572	24649	18368
573	24695	18328
574	24738	18284
575	24775	18237
576	24827	18200
577	24875	18161
578	24920	18120
579	24960	18074
580	25001	18030
581	25043	17986
582	25089	17945
583	25134	17904
584	25172	17857
585	25212	17812
586	25249	17765
587	25293	17722
588	25333	17677
589	25370	17630
590	25406	17582
591	25438	17532
592	25486	17492
593	25525	17446
594	25565	17401
595	25602	17354
596	25651	17315
597	25716	17287
598	25777	17256
599	25829	17219
600	25877	17180
601	25925	17140
602	25983	17107
603	26028	17065
604	26072	17022
605	26115	16979
606	26165	16940
607	26206	16896
608	26246	16851
609	26289	16808
610	26344	16772
611	26406	16741
612	26458	16703
613	26508	16664
614	26554	16623
615	26601	16582
616	26656	16546
617	26703	16505
618	26751	16465
619	26795	16422
620	26844	16383
621	26904	16350
622	26963	16316
623	27014	16277
624	27063	16238
625	27117	16200
626	27168	16162
627	27210	16118
628	27258	16077
629	27305	16036
630	27358	15998
631	27410	15960
632	27462	15922
633	27513	15882
634	27564	15844
635	27622	15808
636	27669	15767
637	27714	15725
638	27761	15683
639	27813	15645
640	27857	15602
641	27900	15558
642	27939	15512
643	27985	15469
644	28043	15434
645	28102	15400
646	28155	15361
647	28205	15321
648	28258	15283
649	28313	15245
650	28357	15202
651	28401	15158
652	28449	15118
653	28508	15082
654	28559	15042
655	28616	15006
656	28668	14966
657	28724	14929
658	28774	14889
659	28820	14846
660	28870	14806
661	28914	14763
662	28969	14725
663	29016	14683
664	29069	14644
665	29124	14605
666	29181	14568
667	29238	14531
668	29288	14490
669	29332	14447
670	29380	14405
671	29432	14365
672	29478	14323
673	29520	14278
674	29563	14234
675	29621	14197
676	29680	14160
677	29732	14120
678	29784	14080
679	29834	14039
680	29886	13999
681	29935	13958
682	29981	13915
683	30024	13870
684	30071	13828
685	30132	13792
686	30185	13752
687	30236	13711
688	30280	13667
689	30331	13626
690	30385	13587
691	30437	13547
692	30484	13504
693	30529	13461
694	30570	13415
695	30629	13378
696	30684	13339
697	30734	13297
698	30788	13258
699	30848	13220
700	30904	13181
701	30951	13139
702	30995	13094
